id_cliente;data_nascimento;sexo;renda;estado_civil;cep
365953751;25/02/1973;M;4490;Divorciado(a);56991-952
879057428;16/10/2003;M;38853;Casado(a);99462-809
969858430;10/02/1978;F;18086;Casado(a);55283-015
947231424;26/08/2003;F;41346;Viuvo(a);41621-838
32754029;08/07/1970;F;36721;Solteiro(a);97953-818
190389459;20/11/1993;F;1868;Casado(a);55166-099
857114883;19/08/2000;F;39844;Casado(a);09154-768
800675290;26/03/1986;M;20323;Casado(a);82139-790
473929688;31/10/2004;M;72756;Viuvo(a);40769-934
390826295;13/12/1979;M;99692;Viuvo(a);85510-547
714242744;27/05/1975;F;44909;Casado(a);17549-769
258377997;17/01/1973;F;42958;Casado(a);11632-799
279679208;03/05/1976;F;41817;Solteiro(a);40366-622
548264867;17/10/1970;M;36513;Solteiro(a);10348-300
285948294;12/09/1999;M;47569;Divorciado(a);47119-250
570954958;01/04/1998;F;9143;Viuvo(a);31859-397
838659014;21/01/1985;F;21973;Viuvo(a);08731-774
318467950;12/04/1970;F;63051;Divorciado(a);02381-450
755787056;20/12/2002;F;4089;Viuvo(a);91715-892
945287347;26/11/1978;F;35991;Casado(a);27531-079
748640494;20/05/1993;F;91279;Solteiro(a);39010-572
601855781;05/11/1993;M;59467;Viuvo(a);34223-159
8111479;01/02/1988;M;14934;Divorciado(a);15011-068
427335879;07/08/1978;M;15734;Viuvo(a);16638-463
602591136;24/10/1999;M;95743;Divorciado(a);50184-849
170387027;26/11/1983;M;21671;Viuvo(a);12110-851
151859032;24/05/1987;M;96237;Casado(a);07756-482
76902236;31/03/1970;M;22982;Viuvo(a);52758-255
50235048;05/12/1978;M;82368;Casado(a);59224-973
215303821;26/02/1985;F;68047;Casado(a);21748-789
231597447;13/09/1979;M;78451;Viuvo(a);11114-503
256683256;23/09/1991;M;89231;Solteiro(a);80769-996
603203003;23/10/1980;M;85099;Casado(a);26567-948
285445744;16/07/1987;M;74049;Divorciado(a);69734-017
799894906;25/06/2001;M;15544;Viuvo(a);04646-659
455457694;06/12/1975;F;98857;Viuvo(a);22641-056
103795385;31/07/1974;F;33752;Solteiro(a);62536-680
207076328;28/06/1976;F;85912;Divorciado(a);28839-895
596468589;01/01/1970;F;34290;Viuvo(a);24385-878
381255597;12/06/1984;F;1417;Solteiro(a);82853-539
202668634;26/10/1985;M;96889;Casado(a);98238-426
355221655;19/09/1983;M;76528;Divorciado(a);85973-878
655528794;12/06/1982;M;77321;Divorciado(a);70113-602
714665815;29/08/1974;M;95380;Divorciado(a);46239-151
992912255;12/07/1996;M;59799;Viuvo(a);19347-043
107425100;02/09/1996;M;28980;Divorciado(a);18199-163
162846103;24/02/1984;F;92016;Divorciado(a);02812-672
679340987;29/04/1990;F;57859;Divorciado(a);03819-715
258968386;12/12/1973;F;30018;Casado(a);39750-559
424340478;17/01/1974;F;23216;Casado(a);51807-406
339909544;28/01/1990;F;12932;Viuvo(a);44940-534
910802828;27/11/1992;M;89508;Casado(a);05506-193
577759366;10/09/1989;M;55157;Divorciado(a);74763-472
33118615;11/09/2004;M;22823;Divorciado(a);92473-692
598609390;29/04/1977;M;76595;Divorciado(a);56519-557
356445086;31/01/1972;M;31017;Viuvo(a);07912-219
207594904;24/05/1984;F;32641;Viuvo(a);88158-451
572801946;28/06/1993;M;17871;Divorciado(a);71051-232
112796078;26/12/1971;M;64734;Divorciado(a);13749-491
158465019;27/03/1986;F;53229;Viuvo(a);45717-999
704932700;02/05/1980;F;57298;Divorciado(a);31946-111
634142658;11/06/1971;M;63265;Casado(a);62129-437
861036120;04/08/1984;F;68687;Viuvo(a);81025-075
314074676;16/04/1996;F;95329;Casado(a);80210-470
97191844;15/01/1996;F;41469;Divorciado(a);68124-607
978458521;22/02/2003;F;83687;Viuvo(a);11062-104
414939784;27/05/1990;M;39980;Solteiro(a);35901-537
32110978;28/07/1990;M;48980;Divorciado(a);78839-674
606133625;15/08/1984;M;72097;Viuvo(a);15801-882
690274714;28/09/1989;M;38085;Viuvo(a);29488-701
371147621;24/12/1984;M;93698;Casado(a);89862-770
928813771;15/09/1978;F;99993;Casado(a);70310-479
